class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.joda.time.format.DateTimeFormatterBuilder,2678,13715.987585838457,220,19,141,141,8,6,3070,3059,11,122,0.014652014652014652,11,0.023734177215189875,0,0,0.0,79,8,0,5,301
org.joda.time.format.DateTimeFormatter,1024,6699.318242763877,149,14,99,99,8,8,954,683,271,407,0.304421768707483,5,0.25,0,0,0.0,50,8,0,8,188
org.joda.time.format.DateTimeParserBucket,609,5510.398267300329,72,11,44,44,13,9,320,262,58,76,0.1396011396011396,2,0.12637362637362637,0,0,0.0,28,13,0,13,77
org.joda.time.format.ISODateTimeFormat,2018,10493.386081837225,116,4,57,57,0,0,1711,1711,0,16,-0.025408348457350273,0,0.0,0,0,0.0,59,0,0,0,205
org.joda.time.convert.ReadablePartialConverter,107,920.0984188745488,12,4,7,7,0,0,10,10,0,1,-0.5,5,0.0,0,0,0.0,5,1,0,0,14
org.joda.time.convert.CalendarConverter,135,1030.8105527735554,16,9,11,11,0,0,10,10,0,1,-0.5,5,0.0,0,0,0.0,5,1,0,0,18
org.joda.time.convert.ReadableInstantConverter,113,792.5150826353864,11,5,6,6,0,0,10,10,0,1,-0.5,5,0.0,0,0,0.0,5,1,0,0,13
org.joda.time.convert.NullConverter,98,706.8550031004452,9,5,4,4,0,0,10,10,0,0,-0.6666666666666666,5,0.0,0,0,0.0,5,1,0,0,11
org.joda.time.convert.ReadableDurationConverter,91,669.0459489117013,9,4,5,5,0,0,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,1,0,0,11
org.joda.time.convert.StringConverter,250,2290.9734095352205,45,11,38,38,0,0,21,21,0,0,-0.4,7,0.0,0,0,0.0,7,1,0,0,28
org.joda.time.convert.ReadablePeriodConverter,84,601.4023657146531,6,4,2,2,0,0,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,1,0,0,11
org.joda.time.convert.ConverterSet,328,1987.228072707071,24,0,16,16,2,2,6,0,22,23,0.7619047619047619,4,0.5625,0,0,0.0,8,2,0,2,32
org.joda.time.convert.DateConverter,69,472.49345620862414,4,2,1,1,0,0,3,3,0,0,-2.0,3,0.0,0,0,0.0,3,1,0,0,7
org.joda.time.convert.ReadableIntervalConverter,116,970.9403269020634,15,5,9,9,0,0,15,15,0,0,-0.5,6,0.0,0,0,0.0,6,1,0,0,16
org.joda.time.convert.ConverterManager,597,2642.22130150176,84,1,56,56,5,1,306,234,72,82,0.15669515669515668,4,0.19047619047619047,0,0,0.0,28,6,0,6,96
org.joda.time.convert.LongConverter,80,523.7108270743394,6,1,2,2,0,0,6,6,0,0,-1.0,4,0.0,0,0,0.0,4,1,0,0,11
org.joda.time.TestMinutes,380,1820.4276207357038,144,6,112,112,1,1,495,494,1,2,-0.06236559139784946,30,0.0625,0,0,0.0,32,1,0,1,46
org.joda.time.TestMonths,390,2000.2620750096812,126,6,96,96,1,1,432,429,3,4,-0.06157635467980296,27,0.1,0,0,0.0,30,1,0,1,43
