class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.apache.commons.text.translate.SinglePassTranslatorTest,66,215.8020025825406,12,7,7,7,2,2,7,4,3,3,-0.16666666666666666,3,0.4,0,0,0.0,5,2,0,2,9
org.apache.commons.text.translate.NumericEntityUnescaperTest,98,460.3699611544332,24,3,19,19,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,6
org.apache.commons.text.translate.UnicodeUnescaperTest,55,200.5278810468189,12,3,9,9,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,3
org.apache.commons.text.lookup.FileStringLookupTest,73,154.1083827672107,18,6,12,12,0,0,15,15,0,0,-0.5,0,0.0,0,0,0.0,6,0,0,0,7
org.apache.commons.text.lookup.ConstantStringLookupTest,141,980.0006117156918,34,5,23,23,3,2,27,0,28,32,0.4888888888888889,4,0.30303030303030304,0,0,0.0,11,3,1,2,24
org.apache.commons.text.lookup.InterpolatorStringLookupTest,126,512.8225730674358,35,12,25,25,3,1,39,33,6,9,0.0,3,0.3,0,0,0.0,10,3,0,3,14
org.apache.commons.text.lookup.UrlEncoderStringLookupTest,63,151.11208397377086,17,7,13,13,1,1,5,4,1,1,-0.6666666666666666,2,0.5,0,0,0.0,4,1,0,1,5
org.apache.commons.text.lookup.DnsStringLookupTest,83,274.4619622799869,38,4,31,31,0,0,21,21,0,0,-0.4,0,0.0,0,0,0.0,7,0,0,0,14
org.apache.commons.text.lookup.ScriptStringLookupTest,89,249.40780553930944,24,4,15,15,1,1,33,30,3,3,-0.17857142857142858,6,0.3333333333333333,0,0,0.0,9,1,0,1,9
org.apache.commons.text.lookup.DateStringLookupTest,68,173.04732188082056,15,9,11,11,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,7
org.apache.commons.text.lookup.PropertiesStringLookupTest,113,330.0754926326836,38,7,28,28,3,1,41,37,4,4,-0.1388888888888889,4,0.23333333333333334,0,0,0.0,10,3,0,3,10
org.apache.commons.text.lookup.JavaPlatformStringLookupTest,61,123.61771643419814,16,5,11,11,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,9
org.apache.commons.text.lookup.XmlStringLookupTest,59,154.65942127288093,14,3,9,9,1,1,10,10,0,0,-0.6666666666666666,4,0.2,0,0,0.0,5,1,0,1,5
org.apache.commons.text.lookup.BiFunctionStringLookupTest,110,385.4835396557653,27,7,21,21,2,2,15,15,0,0,-0.5,5,0.16666666666666666,0,0,0.0,6,2,0,2,6
org.apache.commons.text.lookup.LocalHostStringLookupTest,65,134.6590910919642,24,4,18,18,0,0,15,15,0,0,-0.5,0,0.0,0,0,0.0,6,0,0,0,10
org.apache.commons.text.lookup.FunctionStringLookupTest,63,162.78438877376544,22,6,17,17,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,5
org.apache.commons.text.lookup.ResourceBundleStringLookupTest,99,239.11702775592204,36,7,27,27,2,1,30,24,6,6,-0.07142857142857142,6,0.3888888888888889,0,0,0.0,9,2,0,2,9
org.apache.commons.text.lookup.UrlStringLookupTest,91,216.15681497238631,25,8,17,17,0,0,28,28,0,0,-0.3333333333333333,0,0.0,0,0,0.0,8,0,0,0,10
org.apache.commons.text.lookup.BiStringLookupTest,39,110.09351098545443,4,2,2,2,0,0,1,1,0,1,0.0,0,0.0,0,0,0.0,2,0,0,0,4
org.apache.commons.text.lookup.StringLookupFactoryTest,93,381.315299997064,28,5,24,24,0,0,6,6,0,1,-0.6666666666666666,0,0.0,0,0,0.0,4,0,0,0,6
org.apache.commons.text.lookup.AbstractStringLookupTest,57,187.0825864426473,9,3,6,6,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,3
org.apache.commons.text.lookup.UrlDecoderStringLookupTest,73,178.41372816163192,23,7,17,17,1,1,9,3,6,6,0.1,2,0.6666666666666666,0,0,0.0,6,1,0,1,7
org.apache.commons.text.matcher.StringMatcherFactoryTest,187,657.256053726817,95,3,79,79,0,0,120,120,0,0,-0.14285714285714285,0,0.0,0,0,0.0,16,0,0,0,16
org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest,462,1089.4994426215255,75,4,59,59,1,1,120,120,0,0,-0.14285714285714285,15,0.0625,0,0,0.0,16,1,0,1,16
org.apache.commons.text.similarity.LevenshteinResultsTest,71,170.58751445170742,20,2,15,15,0,0,10,10,0,0,-0.6666666666666666,0,0.0,0,0,0.0,5,0,0,0,6
org.apache.commons.text.similarity.HammingDistanceTest,63,171.82796592786354,11,4,7,7,1,1,5,4,1,1,-0.6666666666666666,2,0.5,0,0,0.0,4,1,0,1,5
org.apache.commons.text.similarity.IntersectionResultTest,153,599.4400224637187,34,4,25,25,0,0,36,36,0,0,-0.2857142857142857,0,0.0,0,0,0.0,9,0,0,0,13
org.apache.commons.text.similarity.LongestCommonSubsequenceTest,140,639.4695472948789,40,4,27,27,1,1,72,66,6,6,-0.09090909090909091,9,0.3076923076923077,0,0,0.0,13,1,0,1,14
org.apache.commons.text.similarity.CosineDistanceTest,71,400.4434319753983,10,5,7,7,1,1,2,1,1,2,0.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,5
org.apache.commons.text.similarity.LevenshteinDistanceTest,144,490.1241019132588,30,3,21,21,1,1,36,36,0,0,-0.2857142857142857,8,0.1111111111111111,0,0,0.0,9,1,0,1,9
org.apache.commons.text.similarity.SimilarityScoreFromTest,41,73.77758908227872,7,3,5,5,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,2
org.apache.commons.text.similarity.IntersectionSimilarityTest,340,1771.1067608786173,60,12,44,44,0,0,120,120,0,8,-0.06666666666666667,0,0.0,0,0,0.0,16,0,0,0,27
org.apache.commons.text.similarity.LongestCommonSubsequenceDistanceTest,69,313.09823787328804,14,4,9,9,1,1,9,8,1,1,-0.5,3,0.4,0,0,0.0,5,1,0,1,6
org.apache.commons.text.similarity.JaccardDistanceTest,77,377.44533163778505,13,4,8,8,1,1,9,8,1,1,-0.5,3,0.4,0,0,0.0,5,1,0,1,6
org.apache.commons.text.similarity.JaroWinklerSimilarityTest,104,645.3497548713798,24,4,15,15,1,1,35,34,1,5,-0.10714285714285714,7,0.2222222222222222,0,0,0.0,9,1,0,1,15
org.apache.commons.text.similarity.FuzzyScoreTest,81,224.25907686725296,20,4,14,14,1,1,15,15,0,0,-0.5,5,0.16666666666666666,0,0,0.0,6,1,0,1,6
org.apache.commons.text.similarity.JaccardSimilarityTest,77,360.3373408816017,13,4,8,8,1,1,9,8,1,1,-0.5,3,0.4,0,0,0.0,5,1,0,1,6
org.apache.commons.text.similarity.JaroWinklerDistanceTest,90,287.18453257687935,13,4,8,8,1,1,9,8,1,1,-0.5,3,0.4,0,0,0.0,5,1,0,1,6
org.apache.commons.text.similarity.CosineSimilarityTest,68,122.38018631513792,17,6,13,13,0,0,6,6,0,0,-1.0,0,0.0,0,0,0.0,4,0,0,0,4
org.apache.commons.text.diff.ReplacementsFinderTest,98,495.8614850788939,14,9,11,11,1,1,2,1,1,1,-1.0,1,0.6666666666666666,0,0,0.0,3,1,0,1,6
org.apache.commons.text.diff.StringsComparatorTest,139,486.22650101163003,25,6,20,20,4,2,0,0,10,10,1.0,0,0.75,0,0,0.0,5,4,0,4,11
