class,LOC,HALSTEAD,RFC,CBO,MPC,IFC,DAC,DAC2,LCOM1,LCOM2,LCOM3,LCOM4,CONNECTIVITY,LCOM5,COH,TCC,LCC,ICH,WCM,NOA,NOPA,NOP,McCABE
org.springframework.ws.soap.server.endpoint.mapping.DelegatingSoapEndpointMapping,96,859.9447273463724,11,7,5,5,3,3,8,1,7,7,0.2,2,0.4444444444444444,0,0,0.0,6,3,0,3,11
org.springframework.ws.soap.server.endpoint.mapping.SoapActionAnnotationMethodEndpointMapping,138,989.5302496644058,20,15,13,13,2,2,17,13,4,4,-0.13333333333333333,5,0.35714285714285715,0,0,0.0,7,2,0,2,18
org.springframework.ws.soap.server.endpoint.mapping.SoapActionEndpointMapping,115,1107.493620977621,15,10,9,9,2,2,11,7,4,4,-0.1,4,0.4166666666666667,0,0,0.0,6,2,0,2,13
org.springframework.ws.soap.server.endpoint.interceptor.SoapEnvelopeLoggingInterceptor,71,565.7790364483396,10,7,6,6,1,1,5,4,1,2,-0.3333333333333333,2,0.5,0,0,0.0,4,1,0,1,12
org.springframework.ws.soap.server.endpoint.interceptor.PayloadRootSmartSoapEndpointInterceptor,72,476.0308841337674,10,8,7,7,3,2,1,0,2,2,0.0,0,0.6666666666666666,0,0,0.0,3,3,0,3,8
org.springframework.ws.soap.server.endpoint.interceptor.SoapActionSmartEndpointInterceptor,56,375.79764705721914,9,5,7,7,1,1,0,0,1,1,0.0,0,1.0,0,0,0.0,2,1,0,1,6
org.springframework.ws.client.support.interceptor.PayloadValidatingInterceptor,65,579.0461275484893,4,2,2,2,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4
org.springframework.ws.soap.server.endpoint.adapter.method.SoapHeaderElementMethodArgumentResolver,129,961.148342184432,32,14,28,28,0,0,6,6,0,2,-0.3333333333333333,0,0.0,0,0,0.0,4,0,0,0,18
org.springframework.ws.soap.server.endpoint.adapter.method.SoapMethodArgumentResolver,66,317.31561636983884,11,8,9,9,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,7
org.springframework.ws.config.InterceptorsBeanDefinitionParser,194,910.7847015186563,38,17,32,32,0,0,15,15,0,5,0.0,0,0.0,0,0,0.0,6,0,0,0,15
org.springframework.ws.config.AnnotationDrivenBeanDefinitionParser,214,986.1504264819615,38,31,32,32,5,1,15,15,0,8,0.3,1,0.16666666666666666,0,0,0.0,6,5,0,5,12
org.springframework.ws.config.annotation.WsConfigurationSupport,217,1642.4531607738934,28,21,18,18,1,1,44,43,1,6,-0.08333333333333333,8,0.2,0,0,0.0,10,1,0,1,26
org.springframework.ws.context.DefaultMessageContext,100,516.4077857877024,16,5,6,6,3,2,20,0,25,25,0.4444444444444444,3,0.43333333333333335,0,0,0.0,10,3,0,3,18
org.springframework.ws.support.DefaultStrategiesHelper,227,1937.6111017939597,42,29,34,34,1,1,25,22,3,8,0.047619047619047616,5,0.375,0,0,0.0,8,1,0,1,33
org.springframework.ws.support.MarshallingUtils,118,905.8040180047407,7,11,4,4,0,0,3,3,0,0,-2.0,0,0.0,0,0,0.0,3,0,0,0,14
