,project,module,commit,path_test,test_name,path_src,class_name,mutation,no_mutations,line_coverage,AssertionRoulette,EagerTest,LazyTest,MysteryGuest,SensitiveEquality,ResourceOptimism,ForTestersOnly,IndirectTesting,LOC_prod,HALSTEAD_prod,RFC_prod,CBO_prod,MPC_prod,IFC_prod,DAC_prod,DAC2_prod,LCOM1_prod,LCOM2_prod,LCOM3_prod,LCOM4_prod,CONNECTIVITY_prod,LCOM5_prod,COH_prod,TCC_prod,LCC_prod,ICH_prod,WCM_prod,NOA_prod,NOPA_prod,NOP_prod,McCABE_prod,LOC_test,HALSTEAD_test,RFC_test,CBO_test,MPC_test,IFC_test,DAC_test,DAC2_test,LCOM1_test,LCOM2_test,LCOM3_test,LCOM4_test,CONNECTIVITY_test,LCOM5_test,COH_test,TCC_test,LCC_test,ICH_test,WCM_test,NOA_test,NOPA_test,NOP_test,McCABE_test,csm_CDSBP,csm_CC,csm_FD,csm_Blob,csm_SC,csm_MC,csm_LM,csm_FE,prod_readability,test_readability
3,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/JobDescriptionBuilderTest.java,com.google.common.css.JobDescriptionBuilderTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/JobDescriptionBuilder.java,com.google.common.css.JobDescriptionBuilder,0.17076502732240434,732.0,0.6470588235294118,True,True,False,False,False,False,False,False,512,2536.5218884709325,155,15,99,99,36,17,1356,1172,184,221,0.11178451178451178,1,0.0798611111111111,0,0,0.0,56,36,0,0,117,204,659.8031935031881,113,10,94,94,2,2,0,0,171,171,1.0,1,0.9736842105263158,0,0,0.0,19,2,0,2,20,False,False,False,True,False,True,False,False,0.650445811523241,0.5708771261729693
4,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/RecordingSubstitutionMapTest.java,com.google.common.css.RecordingSubstitutionMapTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/RecordingSubstitutionMap.java,com.google.common.css.RecordingSubstitutionMap,0.5087719298245614,57.0,0.76,True,True,False,False,False,False,False,False,140,1044.7102569728122,15,7,11,11,3,3,1,0,5,5,0.6666666666666666,1,0.6666666666666666,0,0,0.0,4,3,0,3,10,98,449.5383968916008,17,9,15,15,1,1,1,1,0,1,0.0,1,0.5,0,0,0.0,2,1,0,1,6,False,False,False,False,False,False,False,False,0.7886119708418846,0.7793840765953064
5,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/MinimalSubstitutionMapTest.java,com.google.common.css.MinimalSubstitutionMapTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/MinimalSubstitutionMap.java,com.google.common.css.MinimalSubstitutionMap,0.8452380952380952,252.0,0.7631578947368421,False,False,False,False,False,False,False,False,223,1471.5638381728022,25,7,18,18,10,5,12,3,9,10,0.26666666666666666,0,0.32857142857142857,0,0,0.0,7,10,0,10,19,129,887.4197680502597,25,9,21,21,3,2,1,0,5,6,1.0,1,0.6666666666666666,0,0,0.0,4,3,0,3,9,False,False,False,False,False,False,False,False,0.6752985673291343,0.7218924537301064
6,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/PrefixingSubstitutionMapTest.java,com.google.common.css.PrefixingSubstitutionMapTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/PrefixingSubstitutionMap.java,com.google.common.css.PrefixingSubstitutionMap,0.26666666666666666,45.0,0.38461538461538464,False,False,False,False,False,False,False,False,61,337.4758243617132,11,1,7,7,2,2,0,0,6,6,1.0,1,0.875,0,0,0.0,4,2,0,2,9,46,128.9253755841498,8,4,6,6,0,0,1,1,0,0,-2.0,0,0.0,0,0,0.0,2,0,0,0,4,False,False,False,False,False,False,False,False,0.7090316861867905,0.7688635587692261
7,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/compiler/passes/BooleanExpressionEvaluatorTest.java,com.google.common.css.compiler.passes.BooleanExpressionEvaluatorTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/compiler/passes/BooleanExpressionEvaluator.java,com.google.common.css.compiler.passes.BooleanExpressionEvaluator,0.615071283095723,491.0,0.9859154929577464,True,False,False,False,False,False,False,False,199,1045.511634170076,37,6,30,30,4,3,12,3,9,12,0.4,1,0.4642857142857143,0,0,0.0,7,4,0,0,19,237,414.134293401968,75,10,64,64,0,0,55,55,0,0,-0.2222222222222222,0,0.0,0,0,0.0,11,0,0,0,11,False,False,False,False,False,False,False,False,0.7127008821283068,0.5871582410552285
8,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/compiler/passes/CreateComponentNodesTest.java,com.google.common.css.compiler.passes.CreateComponentNodesTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/compiler/passes/CreateComponentNodes.java,com.google.common.css.compiler.passes.CreateComponentNodes,0.8787878787878788,231.0,0.9464285714285714,True,False,False,False,True,False,False,False,136,913.9333523084587,25,17,21,21,4,3,0,0,6,6,1.0,0,0.5,0,0,0.0,4,4,0,4,7,135,556.3582404722575,99,8,87,87,0,0,66,66,0,0,-0.2,0,0.0,0,0,0.0,12,0,0,0,23,False,False,False,False,False,True,False,True,0.5481232404708862,0.6707260683178902
9,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/compiler/passes/CollectMixinDefinitionsTest.java,com.google.common.css.compiler.passes.CollectMixinDefinitionsTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/compiler/passes/CollectMixinDefinitions.java,com.google.common.css.compiler.passes.CollectMixinDefinitions,0.6149068322981367,161.0,1.0,True,True,False,False,False,False,False,True,133,857.2705805084781,28,14,22,22,7,4,7,0,8,8,0.3,0,0.30952380952380953,0,0,0.0,6,7,0,3,13,95,452.04019947675835,23,8,15,15,1,1,27,26,1,1,-0.2857142857142857,6,0.25,0,0,0.0,8,1,0,1,14,False,False,False,False,False,True,False,True,0.5848197440306345,0.7680865824222565
10,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/compiler/passes/ColorValueOptimizerTest.java,com.google.common.css.compiler.passes.ColorValueOptimizerTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/compiler/passes/ColorValueOptimizer.java,com.google.common.css.compiler.passes.ColorValueOptimizer,0.7227272727272728,440.0,0.9014084507042254,False,False,False,False,True,False,False,False,187,1595.731173437757,43,16,36,36,3,3,14,7,7,11,0.3333333333333333,2,0.3333333333333333,0,0,0.0,7,3,0,3,21,207,855.7102005574299,78,23,67,67,0,0,55,55,0,5,-0.1111111111111111,0,0.0,0,0,0.0,11,0,0,0,16,False,False,False,False,False,True,False,True,0.6466218999453953,0.5202310193668712
11,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/compiler/passes/CreateDefinitionNodesTest.java,com.google.common.css.compiler.passes.CreateDefinitionNodesTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/compiler/passes/CreateDefinitionNodes.java,com.google.common.css.compiler.passes.CreateDefinitionNodes,0.7017543859649122,171.0,0.972972972972973,True,False,False,False,False,False,False,False,104,575.5742213586913,26,14,22,22,3,3,0,0,6,6,1.0,1,0.6666666666666666,0,0,0.0,4,3,0,3,7,74,351.89078351986984,29,6,23,23,0,0,15,15,0,0,-0.5,0,0.0,0,0,0.0,6,0,0,0,12,False,False,False,False,False,True,False,True,0.6376038864254951,0.7844407558441162
12,closure-stylesheets,,4c7ada0a6ef1733436c7d93de6e9bb8734409678,/home/dorma10/mutation-analysis/projects/closure-stylesheets/tests/com/google/common/css/compiler/passes/MarkRemovableRulesetNodesTest.java,com.google.common.css.compiler.passes.MarkRemovableRulesetNodesTest,/home/dorma10/mutation-analysis/projects/closure-stylesheets/src/com/google/common/css/compiler/passes/MarkRemovableRulesetNodes.java,com.google.common.css.compiler.passes.MarkRemovableRulesetNodes,0.7311827956989247,558.0,0.9666666666666668,True,True,False,False,False,False,False,False,307,2476.787515101192,75,22,61,61,5,5,78,65,13,25,0.15384615384615385,3,0.18571428571428567,0,0,0.0,14,5,0,4,46,581,1284.0395721526422,270,15,242,242,0,0,378,378,0,26,-0.0028490028490028487,0,0.0,0,0,0.0,28,0,0,0,28,False,False,False,False,False,True,False,True,0.7432119441883904,0.7738343817847115
